"cityowned","ownertype","nonprofit","ownership"
,"NYCHA","N","Government, City: NYCHA"
"Y","OTHER GOVERNMENT OWNED AND OPERATED","Y","Government, City: Other"
"Y","CORPORATION","Y","Government, City: Corporation"
"Y","PARTNERSHIP","N","Government, City: Partnership"
"Y","HHC","N","Government, City: HHC"
,"NYC AGENCY","N","Government, City: City Agency"
,"NON-PROFIT ORGANIZATION OWNED AND OPERATED","Y","Private Non-Profit: Unspecified"
,"PARTNERSHIP","Y","Private Non-Profit: Partnership"
,"HPD","N","Government, City: HPD"
,"CONDO UNIT OWNER OR CO-OP TENANT-SHAREHOLDER","Y","Private Non-Profit: Condo/Co-Op"
,,"N","Private For-Profit: Unspecified"
"Y","OTHER","N","Government, City: Other"
"Y","CONDO UNIT OWNER OR CO-OP TENANT-SHAREHOLDER","N","Private For-Profit: Condo/Co-Op"
"Y","NYCHA / HHC","Y","Government, City: NYCHA/HHC"
,"CONDO/CO-OP","N","Private For-Profit: Condo/Co-Op"
,"NYCHA/HHC","N","Government, City: NYCHA/HHC"
,"NY STATE","Y","Government, State: NY State"
,"HHC","N","Government, City: HHC"
,"DOE","N","Government, City: DOE"
"Y","HPD","Y","Government, City: HPD"
"Y",,"N","Government, City: Unspecified"
,"NYCHA / HHC","Y","Government, City: NYCHA/HHC"
,"NYCHA","Y","Government, City: NYCHA"
,"INDIVIDUAL","Y","Private Non-Profit: Individual"
,"PARTNERSHIP","N","Private For-Profit: Partnership"
,,"Y","Private Non-Profit: Unspecified"
,"NON-PROFIT ORGANIZATION OWNED AND OPERATED","N","Private Non-Profit: Unspecified"
"Y","DCAS","N","Government, City: DCAS"
"Y","DOE","N","Government, City: DOE"
"Y","DOE","Y","Government, City: DOE"
,"OTHER GOVERNMENT OWNED AND OPERATED","Y","Government, Unspecified: Government Agency"
"Y","NON-PROFIT ORGANIZATION OWNED AND OPERATED","N","Private For-Profit: Unspecified"
"Y","OTHER GOV'T AGENCY","N","Government, City: City Agency"
"Y","DCAS","Y","Government, City: DCAS"
"Y","SCHOOL CONSTRUCTION AUTHORITY","Y","Government, City: SCA"
"Y","OTHER","Y","Government, City: Other"
,"OTHER","N","Private For-Profit: Other"
,"SCHOOL CONSTRUCTION AUTHORITY","N","Government, City: SCA"
"Y","NYCHA","N","Government, City: NYCHA"
"Y","CORPORATION","N","Government, City: Corporation"
"Y","INDIVIDUAL","Y","Government, City: Individual"
"Y","NYC AGENCY","Y","Government, City: City Agency"
"Y","SCHOOL CONSTRUCTION AUTHORITY","N","Government, City: SCA"
,"CONDO UNIT OWNER OR CO-OP TENANT-SHAREHOLDER","N","Private For-Profit: Condo/Co-Op"
"Y","INDIVIDUAL","N","Government, City: Individual"
"Y","NYCHA/HHC","N","Government, City: NYCHA/HHC"
,"OTHER","Y","Private Non-Profit: Other "
,"CORPORATION","N","Private For-Profit: Corporation"
,"OTHER GOV'T AGENCY","N","Government, Unspecified: Government Agency"
,"OTHER GOV'T AGENCY","Y","Government, Unspecified: Government Agency"
"Y","OTHER GOVERNMENT OWNED AND OPERATED","N","Government, City: Government Agency"
,"OTHER GOVERNMENT OWNED AND OPERATED","N","Government, Unspecified: Government Agency"
"Y","NYCHA","Y","Government, City: NYCHA"
"Y","NY STATE","N","Government, State: NY State"
,"CONDO/CO-OP","Y","Private Non-Profit: Condo/Co-Op"
,"CORPORATION","Y","Private Non-Profit: Corporation"
"Y","HPD","N","Government, City: HPD"
"Y","HHC","Y","Government, City: HHC"
,"NY STATE","N","Government, State: NY State"
,"HHC","Y","Government, City: HHC"
,"NYCHA / HHC","N","Government, City: NYCHA/HHC"
"Y","NON-PROFIT ORGANIZATION OWNED AND OPERATED","Y","Private Non-Profit: Unspecified"
,"DCAS","Y","Government, City: DCAS"
"Y","OTHER GOV'T AGENCY","Y","Government, City: City Agency"
"Y","NY STATE","Y","Government, State: NY State"
,"NYC AGENCY","Y","Government, City: City Agency"
,"DCAS","N","Government, City: DCAS"
,"INDIVIDUAL","N","Private For-Profit: Individual"
"Y","NYCHA / HHC","N","Government, City: NYCHA/HHC"
"Y","NYC AGENCY","N","Government, City: City Agency"
,"HPD","Y","Government, City: HPD"
"Y","PARTNERSHIP","Y","Government, City: Partnership"
"Y",,"Y","Government, City: Unspecified"
