job_number,job_type,job_description,units_init,units_prop,units_net,units_complete,co_latest_units,address,bbl,flag,outlier
102507253,Alteration,Propose to convert existing class A apartments to transient use hotel.,206,0,-206,-206,251,155 EAST 50 STREET,1013050033,job_type= A1 and units_net < -50,
103818950,Alteration,IT IS PROPOSED TO RENOVATE EXISTING HOTEL WITH NEW ACCESSORY OFFICES AND LOUNGE ON THE SECOND FLOOR AS SHOWN ON PLANS.,226,0,-226,-226,180,4 EAST 28 STREET,1008570075,job_type= A1 and units_net < -50,
104135810,Alteration,"AMENDMENT HEREWITH FILED RESPECTFULLY SUBMITTING SCHEDULE A REVISION AS PER DO B CONSTRUCTION INSPECTOR'S REQUEST. DATA CHANGES ARE IDENTICAL TO THOSE PROPOS ED IN DOC #11 BUT WERE NOT PROPERLY DATA ENTERED OR CORRECTED PRIOR TO APPROVA L. NO CHANGES TO PLANS, USE, OCCUPANCY, EGRESS, CONSTRUCTION CLASS OR BULK.",89,0,-89,-89,89,24 JOHN STREET,1000650024,job_type= A1 and units_net < -50,
104739829,Alteration,IT IS PROPOSED TO ENLARGE EXISTINGAND RELOCATE EXISTING CLASS A APTS. FROM 1ST FLOOR TO THE 6TH FLOORAS SHOWN ON PLANS.,127,0,-127,-127,121,207 WEST 87 STREET,1012350023,job_type= A1 and units_net < -50,
110352449,Alteration,"AT PENTHOUSE ( SOUTH WING); CONVERSION OF ONE (1) HOUSEKEEPING APARMENT,LOCKER RM AND LINED ROOM TO FIVE (5) HOTEL ROOMS,AT PENTHOUSE FLOOR INSTALLATION OF A ROOFTOP LOUNGE ( EATING AND DRINKING ESTABLISHMENT,UG 10) WITH A RETRACTABLE METAL CANOPY;LL#58/87 (ADA) COMPLIANT BATH RM RELATED CONSTRUCTION & PLUMBING WORK;AMEND CO",208,0,-208,-208,213,59 WEST 46TH STREET,1012620009,job_type= A1 and units_net < -50,
110410591,Alteration,FILING CHANGE TO USE ON SECOND FLOOR. FILING ARCHITECTURAL CHANGES AS PER PLAN S,95,0,-95,,,317 BOWERY,1004570007,job_type= A1 and units_net < -50,
110410591,Alteration,FILING CHANGE TO USE ON SECOND FLOOR. FILING ARCHITECTURAL CHANGES AS PER PLAN S,95,0,-95,,,317 BOWERY,1004570007,top 20 units_net A1,
110465871,Alteration,IT IS PROPOSED TO RENOVATE EXISTING HOTEL AS SHOWN ON PLANS.,184,0,-184,-184,148,95 WEST BROADWAY,1001450012,job_type= A1 and units_net < -50,
120028424,Alteration,PROPOSED TO CHANGE (7) OFFICES TO BEDROOMS WORK TO INCLUDE NEW BATHROOMS.,214,0,-214,-214,221,2940 BROADWAY,1018860001,job_type= A1 and units_net < -50,
120086762,Alteration,PROPOSE TO CONVERT THE ENTIRE BUILDING INTO A HOTEL. PROPOSE TO REMOVE & INSTAKK NEW PARTITIONS CEILING & DOORS,134,0,-134,-134,213,101 WEST 57TH STREET,1010100029,job_type= A1 and units_net < -50,
120090356,Alteration,THIS APPLICATION IS BEING FILED TO CHANGE THE USE FROM CELLAR THRU 7TH FLOOR A S PER PLANS SUBMITTED HEREWITH,126,0,-126,,,2651 BROADWAY,1018720054,job_type= A1 and units_net < -50,
120262036,Alteration,FILING HEREWITH FOR ALTERATION TYPE 1 TO INCREASE OCCUPANT LOAD FOR 1ST FLOOR SOUTH WING.,315,0,-315,-315,315,302 EAST 42ND STREET,1013340005,job_type= A1 and units_net < -50,
120307872,Alteration,FILING FOR AMENDED CERTIFICATE OF OCCUPANCY TO REFLECT HOTEL ROOMS ON EACH FLOOR.  MINOR CONSTRUCTION IN THE CELLAR TO CREATE OFFICES ACCESSORY TO EXISTING HOTEL. NO CHANGE TO EGRESS.,83,0,-83,,,33 WEST 55TH STREET,1012710019,job_type= A1 and units_net < -50,
120375977,Alteration,"FILING HEREWITH TO AMEND EXISTING C O O FOR DECREASE OF OCCUPANCY AND DECREASE ROOMING UNIT COUNTS AS PER PLANS.  INTERIOR REVOVATION WORK PARTITION, CEILIN G, NON LOAD BEARING PARTITIONS.",74,0,-74,-74,59,337 EAST 17 STREET,1009230022,job_type= A1 and units_net < -50,
120392422,Alteration,APPLICATION FILED FOR INSTALLATION OF GRAB BARS IN HANDICAP SHOWERS AND TO SHO W INCREASE IN NUMBER OF PERSONS IN EXISTING GYMNASIUM FORM 100 TO 273 AS PER P LANS FILED HEREWITH. FILING FOR CHANGES ON THE GYMNASIUM LEVEL-2ND SUB CELLAR ONLY. NO CHANGE TO ANY OTHER FLOORS.,227,0,-227,-227,227,50 HAVEN AVENUE,1021390030,job_type= A1 and units_net < -50,
